Date,Open,High,Low,Close,Volume
2020-01-02,332.5,339.0,332.5,339.0,33282.12
2020-01-03,344.0,345.0,335.5,339.5,42023.268
2020-01-06,333.0,334.5,332.0,332.0,45677.057
2020-01-07,332.5,333.0,326.5,329.5,51746.181
2020-01-08,325.0,333.0,325.0,329.5,37913.748
2020-01-09,335.0,337.5,333.5,337.5,32397.504
2020-01-10,340.5,341.0,336.0,339.5,27880.115
2020-01-13,342.0,342.0,339.0,341.5,30663.332
2020-01-14,345.5,346.0,344.5,346.0,30368.993
2020-01-15,345.0,345.0,337.5,340.0,54575.274
2020-01-16,330.0,336.5,330.0,334.5,58217.42
2020-01-17,334.0,335.5,332.0,333.0,53908.097
2020-01-20,334.0,335.5,333.0,333.0,35551.203
2020-01-30,326.0,326.0,316.5,316.5,126820.049
2020-01-31,323.0,323.5,319.0,320.0,62912.055
2020-02-03,315.0,316.5,312.0,315.0,59711.849
2020-02-04,319.0,326.0,318.0,325.0,52208.496
2020-02-05,329.0,329.5,324.5,327.5,36601.453
2020-02-06,329.5,332.5,329.0,332.5,29659.094
2020-02-07,330.0,330.5,326.0,328.0,30055.327
2020-02-10,321.5,328.0,321.0,327.5,30814.424
2020-02-11,330.5,332.5,330.0,331.5,29062.935
2020-02-12,333.5,336.0,333.0,335.0,37612.639
2020-02-13,338.0,338.0,335.0,335.0,23217.021
2020-02-14,337.0,337.0,334.5,335.0,18326.683
2020-02-17,331.5,333.0,330.5,331.5,16145.079
2020-02-18,324.5,326.5,322.0,322.0,64662.604
2020-02-19,322.5,327.0,322.0,326.5,48856.218
2020-02-20,328.0,329.0,325.0,325.5,27061.736
2020-02-21,325.5,326.5,323.0,325.0,22974.534
2020-02-24,319.5,321.5,319.5,320.0,42946.68
2020-02-25,320.0,323.5,317.5,322.0,38674.011
2020-02-26,317.0,320.5,316.5,318.5,60768.362
2020-02-27,319.0,320.0,315.0,316.0,62401.927
2020-03-02,308.0,317.0,308.0,311.0,86372.942
2020-03-03,318.5,320.0,316.0,317.5,55169.411
2020-03-04,322.0,322.0,317.0,320.5,44745.146
2020-03-05,325.0,326.0,323.0,323.0,38223.525
2020-03-06,320.0,320.5,315.0,315.0,52807.76
2020-03-09,307.5,310.0,305.5,305.5,88633.277
2020-03-10,301.5,309.0,301.0,307.0,74869.13
2020-03-11,309.0,310.5,302.0,302.0,64923.71
2020-03-12,299.0,299.0,287.0,294.0,114173.351
2020-03-13,275.0,294.0,272.5,290.0,151268.148
2020-03-16,285.0,291.0,275.5,276.5,103933.228
2020-03-17,265.0,276.5,265.0,268.0,122409.651
2020-03-18,269.5,272.5,260.0,260.0,118620.643
2020-03-19,252.0,253.0,235.5,248.0,160811.697
2020-03-20,258.5,270.0,256.0,270.0,159179.726
2020-03-23,257.0,262.5,252.0,255.0,76963.709
2020-03-24,268.0,274.0,266.0,267.5,82377.933
2020-03-25,276.5,280.0,274.0,277.0,80514.199
2020-03-26,279.5,280.0,275.5,280.0,54189.633
2020-03-27,284.0,286.0,273.0,273.0,69320.306
2020-03-30,263.5,269.0,262.5,267.5,53403.956
2020-03-31,273.0,274.0,269.5,274.0,53901.923
2020-04-01,276.5,276.5,271.5,271.5,47572.034
2020-04-06,273.0,275.5,270.0,275.5,59712.754
2020-04-07,283.5,284.0,280.5,283.0,48887.346
2020-04-08,285.0,285.5,283.0,285.0,38698.826
2020-04-09,287.5,288.0,282.5,283.0,29276.43
2020-04-10,280.0,282.0,279.0,279.5,28206.858
2020-04-13,278.5,281.5,278.5,278.5,22196.596
2020-04-14,281.0,285.5,280.0,285.0,50196.688
2020-04-15,287.0,288.5,286.0,287.5,58561.434
2020-04-16,283.0,288.5,283.0,286.5,48257.28
2020-04-17,303.5,308.5,300.5,306.5,117447.201
2020-04-20,308.0,309.0,302.5,304.0,44586.86
2020-04-21,300.5,301.5,293.5,295.0,61949.357
2020-04-22,294.5,295.0,290.5,294.0,43568.58
2020-04-23,300.0,300.0,294.0,295.5,39977.278
2020-04-24,295.5,297.0,294.0,294.0,26465.09
2020-04-27,298.0,298.5,296.0,298.0,38493.406
2020-04-28,298.5,298.5,294.5,296.5,37621.165
2020-04-29,299.0,301.5,298.0,299.0,46253.301
2020-04-30,302.0,305.0,301.5,304.5,58439.085
2020-05-04,294.5,296.5,294.0,295.0,72252.861
2020-05-05,296.5,298.0,295.0,295.5,23988.405
2020-05-06,294.5,296.0,292.5,296.0,35704.479
2020-05-07,294.5,299.0,294.5,297.5,28017.198
2020-05-08,300.0,300.0,296.0,297.5,35613.893
2020-05-11,300.0,301.5,298.5,301.0,32379.019
2020-05-12,297.5,298.5,295.0,295.0,52494.788
2020-05-13,293.0,297.0,292.5,297.0,46158.418
2020-05-14,293.0,295.0,292.5,293.0,34480.948
2020-05-15,297.5,298.5,294.5,298.0,44304.804
2020-05-18,291.0,293.5,290.0,290.0,96872.065
2020-05-19,294.0,294.0,291.5,291.5,53083.214
2020-05-20,293.0,294.0,291.0,294.0,36789.994
2020-05-21,296.0,298.0,295.0,297.5,36299.468
2020-05-22,294.5,295.0,291.0,292.0,41138.923
2020-05-25,290.5,293.0,288.5,292.0,32942.223
2020-05-26,295.0,297.5,293.5,295.5,35817.481
2020-05-27,297.0,298.0,295.5,296.5,23375.959
2020-05-28,298.5,298.5,293.0,294.0,32395.568
2020-05-29,292.0,292.5,290.0,292.0,96611.181
2020-06-01,294.0,296.5,293.5,295.5,37936.214
2020-06-02,296.0,297.5,296.0,296.5,26663.587
2020-06-03,300.0,301.0,298.0,301.0,67894.337
2020-06-04,305.0,306.0,304.0,306.0,47225.322
2020-06-05,308.5,312.0,308.0,311.5,44077.262
2020-06-08,316.0,319.0,315.0,318.0,52042.921
2020-06-09,316.5,319.0,314.0,319.0,37068.082
2020-06-10,319.0,324.0,318.0,322.5,42207.259
2020-06-11,325.5,327.0,318.5,320.5,50612.255
2020-06-12,313.0,317.5,312.5,316.0,46970.918
2020-06-15,316.0,317.5,308.5,309.5,51032.404
2020-06-16,317.0,317.0,314.0,315.0,40725.216
