Date,Open,High,Low,Close,Volume
2015-01-05,140.5,140.5,137.5,139.5,32214.177
2015-01-06,137.5,137.5,133.0,133.5,67649.997
2015-01-07,133.5,135.0,133.5,134.0,43886.007
2015-01-08,136.5,138.0,136.0,138.0,42551.468
2015-01-09,135.0,135.5,133.0,134.0,61920.268
2015-01-12,132.5,133.5,132.0,132.0,30402.705
2015-01-13,131.0,133.0,130.5,132.5,38093.83
2015-01-14,132.5,133.0,130.0,130.0,49447.397
2015-01-15,131.5,133.0,131.5,131.5,40996.781
2015-01-16,140.0,140.0,136.0,137.0,129035.714
2015-01-19,138.5,139.5,137.5,139.0,50175.501
2015-01-20,139.0,139.0,137.5,138.0,33795.629
2015-01-21,139.5,141.0,139.5,141.0,77292.89
2015-01-22,141.5,142.0,139.5,140.0,45654.028
2015-01-23,142.5,145.0,142.5,145.0,82359.856
2015-01-26,145.5,145.5,143.5,145.0,46941.337
2015-01-27,145.5,147.0,144.5,147.0,53362.68
2015-01-28,146.5,147.0,145.5,146.5,48373.268
2015-01-29,144.0,145.0,143.0,143.5,36887.636
2015-01-30,145.0,145.5,141.0,141.0,44413.182
2015-02-02,140.5,143.0,140.5,142.5,30382.755
2015-02-03,143.0,144.5,142.0,144.5,27234.908
2015-02-04,144.5,146.5,144.0,146.0,43152.252
2015-02-05,145.5,146.0,143.5,145.5,25327.809
2015-02-06,145.5,145.5,143.0,143.0,28668.194
2015-02-09,143.0,143.5,141.5,142.0,26650.627
2015-02-10,142.0,143.0,141.5,142.5,33452.346
2015-02-11,146.0,149.0,146.0,148.0,71429.251
2015-02-12,149.5,149.5,147.5,148.5,35027.816
2015-02-13,148.5,150.0,148.0,148.5,38571.667
2015-02-24,149.0,152.0,148.5,151.0,74443.659
2015-02-25,152.5,154.5,152.5,154.5,48326.782
2015-02-26,153.5,154.0,150.5,150.5,58406.927
2015-03-02,151.5,153.0,148.5,149.0,41706.868
2015-03-03,150.0,151.0,148.5,150.5,29205.565
2015-03-04,150.0,151.5,149.0,150.5,32781.813
2015-03-05,150.0,151.0,148.5,150.0,29851.795
2015-03-06,149.0,149.5,148.5,149.0,33211.114
2015-03-09,147.5,147.5,145.0,145.5,67545.51
2015-03-10,145.0,145.0,144.0,144.0,46859.211
2015-03-11,143.5,148.0,143.0,146.0,51828.263
2015-03-12,147.0,148.5,146.5,148.0,32364.794
2015-03-13,148.0,149.5,147.0,149.0,46407.83
2015-03-16,149.0,149.5,146.0,146.0,37462.553
2015-03-17,148.5,150.0,148.5,149.0,55770.359
2015-03-18,151.0,154.0,150.0,153.5,71220.784
2015-03-19,152.5,155.0,152.5,154.0,43512.703
2015-03-20,151.5,154.0,151.5,154.0,38594.575
2015-03-23,154.0,154.0,152.5,153.5,26369.028
2015-03-24,153.5,153.5,151.5,151.5,38207.799
2015-03-25,152.0,152.5,150.5,151.0,50140.683
2015-03-26,145.5,147.0,144.5,145.5,162835.475
2015-03-27,144.0,145.5,142.5,142.5,112919.978
2015-03-30,142.5,144.0,142.0,142.5,64898.228
2015-03-31,144.0,145.5,143.0,145.5,56918.778
2015-04-01,145.0,145.0,143.5,144.0,39056.191
2015-04-02,145.0,148.0,144.5,147.0,52174.388
2015-04-07,146.5,147.5,145.0,146.0,34901.698
2015-04-08,145.5,146.0,143.0,143.0,49474.198
2015-04-09,144.0,145.5,143.0,143.0,47243.108
2015-04-10,146.0,147.0,145.0,147.0,33908.579
2015-04-13,146.5,147.5,146.0,147.0,26427.202
2015-04-14,145.0,145.5,143.5,144.0,41702.197
2015-04-15,143.5,144.5,141.5,143.0,71626.316
2015-04-16,145.0,147.0,144.5,147.0,55563.272
2015-04-17,143.0,144.0,142.5,142.5,79007.681
2015-04-20,142.0,144.0,141.5,143.0,43593.805
2015-04-21,142.0,143.5,141.5,142.5,40892.605
2015-04-22,143.5,145.0,143.0,143.5,40631.875
2015-04-23,145.5,147.0,145.0,147.0,47851.742
2015-04-24,149.0,152.5,148.5,152.5,135458.464
2015-04-27,153.0,153.0,150.0,151.5,58112.934
2015-04-28,153.5,153.5,150.5,151.5,43295.538
2015-04-29,150.0,151.0,148.0,148.5,37440.139
2015-04-30,147.0,148.5,146.5,147.0,48982.979
2015-05-04,148.5,148.5,146.0,147.5,30868.64
2015-05-05,147.5,148.0,146.0,147.0,27789.4
2015-05-06,145.5,148.0,145.5,147.5,18824.208
2015-05-07,146.0,147.5,146.0,146.5,21908.15
2015-05-08,146.0,147.5,146.0,146.5,20035.646
2015-05-11,149.0,149.0,147.0,148.5,20402.529
2015-05-12,147.0,148.5,147.0,147.5,24956.498
2015-05-13,147.5,149.0,147.0,148.0,19437.537
2015-05-14,148.0,148.5,146.0,146.0,39888.654
2015-05-15,147.0,147.0,145.0,146.5,24831.89
2015-05-18,147.0,147.0,145.0,146.5,26212.375
2015-05-19,145.5,147.5,145.0,146.5,26321.396
2015-05-20,146.5,147.0,146.0,146.5,26984.912
2015-05-21,146.0,146.5,144.5,145.5,41286.686
2015-05-22,146.0,147.0,145.0,145.5,22103.852
2015-05-25,146.5,147.5,145.5,147.5,16323.218
2015-05-26,148.5,148.5,146.5,146.5,16069.726
2015-05-27,145.5,147.0,145.0,145.0,24257.941
2015-05-28,147.0,147.5,146.0,147.0,36704.395
2015-05-29,147.0,147.5,145.5,146.0,61983.862
2015-06-01,145.5,146.0,144.0,145.0,31646.861
2015-06-02,144.5,144.5,143.5,144.0,33433.403
2015-06-03,143.5,144.5,143.0,143.0,30174.69
2015-06-04,142.0,142.5,140.0,141.0,62313.192
2015-06-05,139.5,140.5,139.0,140.0,42846.692
2015-06-08,139.5,140.0,138.5,138.5,45637.64
2015-06-09,138.5,140.0,138.0,139.0,31663.811
2015-06-10,141.0,141.5,139.5,139.5,37243.196
2015-06-11,141.0,144.0,141.0,143.5,46455.78
2015-06-12,144.0,144.5,142.5,144.5,35243.603
2015-06-15,144.5,144.5,142.5,143.0,23775.78
2015-06-16,143.0,143.0,141.0,142.0,28696.598
2015-06-17,143.0,143.5,142.0,142.5,31675.566
2015-06-18,142.0,143.0,142.0,142.0,28627.136
2015-06-22,142.0,143.5,142.0,142.0,29598.804
2015-06-23,143.0,145.0,142.5,144.5,37809.098
2015-06-24,144.5,145.0,143.5,145.0,21134.324
2015-06-25,145.0,147.0,145.0,146.5,45571.067
2015-06-26,147.0,147.5,145.5,146.0,34170.981
2015-06-29,140.5,141.0,138.5,138.5,53096.169
2015-06-30,139.0,140.5,138.5,140.5,45375.815
2015-07-01,140.0,142.5,139.0,141.0,33330.373
2015-07-02,140.5,142.0,140.5,141.5,24309.42
2015-07-03,141.5,142.5,140.0,142.5,17091.23
2015-07-06,141.0,141.5,140.5,140.5,20683.912
2015-07-07,141.0,142.0,140.5,140.5,26545.982
2015-07-08,140.5,141.0,138.0,138.0,52066.084
2015-07-09,134.0,138.0,134.0,136.5,53784.773
2015-07-13,137.0,139.5,137.0,138.5,35404.791
2015-07-14,139.5,140.5,138.0,138.5,27574.22
2015-07-15,139.0,139.5,138.0,138.5,23485.78
2015-07-16,140.0,140.0,135.5,136.5,37250.129
2015-07-17,138.0,140.0,138.0,140.0,55848.153
2015-07-20,141.5,142.0,138.5,139.0,27906.576
2015-07-21,141.0,141.5,139.5,140.5,21857.01
2015-07-22,139.0,139.5,138.0,139.0,27408.864
2015-07-23,137.0,137.5,136.0,136.0,38176.255
2015-07-24,138.0,138.0,136.0,137.0,39062.686
2015-07-27,135.0,135.5,134.0,134.0,45080.466
2015-07-28,135.0,136.5,134.0,134.0,35777.744
2015-07-29,135.0,136.0,134.5,135.5,30500.205
2015-07-30,136.0,139.0,136.0,138.5,37085.996
2015-07-31,140.5,140.5,137.5,139.5,40479.318
2015-08-03,138.5,138.5,134.5,134.5,33815.561
2015-08-04,135.0,136.5,134.5,136.5,27514.927
2015-08-05,135.5,135.5,134.0,134.0,28577.967
2015-08-06,136.0,136.0,132.0,134.0,39658.057
2015-08-07,133.0,133.5,131.5,133.0,30591.687
2015-08-10,131.0,131.0,125.5,129.0,65582.829
2015-08-11,133.5,133.5,130.5,130.5,65988.387
2015-08-12,129.5,130.0,127.5,128.5,45838.052
2015-08-13,129.0,130.0,127.5,128.0,43697.151
2015-08-14,128.0,128.5,125.0,126.0,40366.795
2015-08-17,125.5,125.5,123.0,124.0,38956.377
2015-08-18,125.0,126.5,125.0,126.0,41823.656
2015-08-19,127.5,127.5,124.0,125.0,47213.363
2015-08-20,124.5,126.0,123.5,126.0,38767.923
2015-08-21,123.0,124.5,121.0,121.0,67341.681
2015-08-24,120.0,121.0,112.5,115.0,118882.318
2015-08-25,118.0,124.0,117.5,123.5,99479.29
2015-08-26,121.0,124.5,119.5,122.5,65899.783
2015-08-27,125.0,125.0,122.0,124.0,53549.076
2015-08-28,127.0,127.0,124.5,125.0,41879.827
2015-08-31,126.0,129.0,123.5,129.0,57088.355
2015-09-01,127.5,127.5,124.0,124.0,42394.536
2015-09-02,123.0,127.0,123.0,125.5,37232.124
2015-09-03,127.5,127.5,125.0,127.0,24054.041
2015-09-04,126.5,127.0,123.5,125.0,23047.166
2015-09-07,124.5,126.0,122.0,122.5,26152.92
2015-09-08,122.5,123.5,122.0,123.0,15112.954
2015-09-09,126.5,129.0,126.5,129.0,53969.621
2015-09-10,127.0,128.0,125.0,125.0,34029.707
2015-09-11,125.5,127.5,124.0,127.5,24548.989
2015-09-14,128.0,129.0,126.0,127.5,25582.357
2015-09-15,127.5,128.0,125.5,126.0,22223.4
2015-09-16,128.0,130.0,127.5,129.5,44137.38
2015-09-17,130.5,131.5,130.0,131.0,52529.479
